,keyword,threshold,threshold_relax,algo,modularity,performance,coverage,nodes
210,gasoline,1.5,4.5,greedy,0.6122448979591837,1.0,1.0,8
211,gasoline,1.5,4.5,louvain,0.6122448979591837,1.0,1.0,8
212,gasoline,1.5,4.75,greedy,0.6122448979591837,1.0,1.0,8
213,gasoline,1.5,4.75,louvain,0.6122448979591837,1.0,1.0,8
214,gasoline,1.5,5.0,greedy,0.6122448979591837,1.0,1.0,8
215,gasoline,1.5,5.0,louvain,0.6122448979591837,1.0,1.0,8
216,gasoline,1.5,5.25,greedy,0.6122448979591837,1.0,1.0,8
217,gasoline,1.5,5.25,louvain,0.6122448979591837,1.0,1.0,8
218,gasoline,1.5,5.5,greedy,0.6122448979591837,1.0,1.0,8
219,gasoline,1.5,5.5,louvain,0.6122448979591837,1.0,1.0,8
220,gasoline,1.5,5.75,greedy,0.6122448979591837,1.0,1.0,8
221,gasoline,1.5,5.75,louvain,0.6122448979591837,1.0,1.0,8
222,gasoline,1.5,6.0,greedy,0.6122448979591837,1.0,1.0,8
223,gasoline,1.5,6.0,louvain,0.6122448979591837,1.0,1.0,8
224,gasoline,1.5,6.25,greedy,0.6122448979591837,1.0,1.0,8
225,gasoline,1.5,6.25,louvain,0.6122448979591837,1.0,1.0,8
226,gasoline,1.5,6.5,greedy,0.6122448979591837,1.0,1.0,8
227,gasoline,1.5,6.5,louvain,0.6122448979591837,1.0,1.0,8
228,gasoline,1.5,6.75,greedy,0.6122448979591837,1.0,1.0,8
229,gasoline,1.5,6.75,louvain,0.6122448979591837,1.0,1.0,8
230,gasoline,1.75,2.0,greedy,0.72,1.0,1.0,11
231,gasoline,1.75,2.0,louvain,0.72,1.0,1.0,11
232,gasoline,1.75,2.25,greedy,0.72,1.0,1.0,11
233,gasoline,1.75,2.25,louvain,0.72,1.0,1.0,11
234,gasoline,1.75,2.5,greedy,0.72,1.0,1.0,11
235,gasoline,1.75,2.5,louvain,0.72,1.0,1.0,11
236,gasoline,1.75,2.75,greedy,0.72,1.0,1.0,11
237,gasoline,1.75,2.75,louvain,0.72,1.0,1.0,11
238,gasoline,1.75,3.0,greedy,0.72,1.0,1.0,11
239,gasoline,1.75,3.0,louvain,0.72,1.0,1.0,11
240,gasoline,1.75,3.25,greedy,0.72,1.0,1.0,11
241,gasoline,1.75,3.25,louvain,0.72,1.0,1.0,11
242,gasoline,1.75,3.5,greedy,0.72,1.0,1.0,11
243,gasoline,1.75,3.5,louvain,0.72,1.0,1.0,11
244,gasoline,1.75,3.75,greedy,0.72,1.0,1.0,11
245,gasoline,1.75,3.75,louvain,0.72,1.0,1.0,11
246,gasoline,1.75,4.0,greedy,0.72,1.0,1.0,11
247,gasoline,1.75,4.0,louvain,0.72,1.0,1.0,11
248,gasoline,1.75,4.25,greedy,0.72,1.0,1.0,11
249,gasoline,1.75,4.25,louvain,0.72,1.0,1.0,11
250,gasoline,1.75,4.5,greedy,0.72,1.0,1.0,11
251,gasoline,1.75,4.5,louvain,0.72,1.0,1.0,11
252,gasoline,1.75,4.75,greedy,0.72,1.0,1.0,11
253,gasoline,1.75,4.75,louvain,0.72,1.0,1.0,11
254,gasoline,1.75,5.0,greedy,0.72,1.0,1.0,11
255,gasoline,1.75,5.0,louvain,0.72,1.0,1.0,11
256,gasoline,1.75,5.25,greedy,0.72,1.0,1.0,11
257,gasoline,1.75,5.25,louvain,0.72,1.0,1.0,11
258,gasoline,1.75,5.5,greedy,0.72,1.0,1.0,11
259,gasoline,1.75,5.5,louvain,0.72,1.0,1.0,11
260,gasoline,1.75,5.75,greedy,0.72,1.0,1.0,11
261,gasoline,1.75,5.75,louvain,0.72,1.0,1.0,11
262,gasoline,1.75,6.0,greedy,0.72,1.0,1.0,11
263,gasoline,1.75,6.0,louvain,0.72,1.0,1.0,11
264,gasoline,1.75,6.25,greedy,0.72,1.0,1.0,11
265,gasoline,1.75,6.25,louvain,0.72,1.0,1.0,11
266,gasoline,1.75,6.5,greedy,0.72,1.0,1.0,11
267,gasoline,1.75,6.5,louvain,0.72,1.0,1.0,11
268,gasoline,1.75,6.75,greedy,0.72,1.0,1.0,11
269,gasoline,1.75,6.75,louvain,0.72,1.0,1.0,11
270,gasoline,2.0,2.25,greedy,0.72,1.0,1.0,11
271,gasoline,2.0,2.25,louvain,0.72,1.0,1.0,11
272,gasoline,2.0,2.5,greedy,0.72,1.0,1.0,11
273,gasoline,2.0,2.5,louvain,0.72,1.0,1.0,11
274,gasoline,2.0,2.75,greedy,0.72,1.0,1.0,11
275,gasoline,2.0,2.75,louvain,0.72,1.0,1.0,11
276,gasoline,2.0,3.0,greedy,0.72,1.0,1.0,11
277,gasoline,2.0,3.0,louvain,0.72,1.0,1.0,11
278,gasoline,2.0,3.25,greedy,0.72,1.0,1.0,11
279,gasoline,2.0,3.25,louvain,0.72,1.0,1.0,11
280,gasoline,2.0,3.5,greedy,0.72,1.0,1.0,11
281,gasoline,2.0,3.5,louvain,0.72,1.0,1.0,11
282,gasoline,2.0,3.75,greedy,0.72,1.0,1.0,11
283,gasoline,2.0,3.75,louvain,0.72,1.0,1.0,11
284,gasoline,2.0,4.0,greedy,0.72,1.0,1.0,11
285,gasoline,2.0,4.0,louvain,0.72,1.0,1.0,11
286,gasoline,2.0,4.25,greedy,0.72,1.0,1.0,11
287,gasoline,2.0,4.25,louvain,0.72,1.0,1.0,11
288,gasoline,2.0,4.5,greedy,0.72,1.0,1.0,11
289,gasoline,2.0,4.5,louvain,0.72,1.0,1.0,11
290,gasoline,2.0,4.75,greedy,0.72,1.0,1.0,11
291,gasoline,2.0,4.75,louvain,0.72,1.0,1.0,11
292,gasoline,2.0,5.0,greedy,0.72,1.0,1.0,11
293,gasoline,2.0,5.0,louvain,0.72,1.0,1.0,11
294,gasoline,2.0,5.25,greedy,0.72,1.0,1.0,11
295,gasoline,2.0,5.25,louvain,0.72,1.0,1.0,11
296,gasoline,2.0,5.5,greedy,0.72,1.0,1.0,11
297,gasoline,2.0,5.5,louvain,0.72,1.0,1.0,11
298,gasoline,2.0,5.75,greedy,0.72,1.0,1.0,11
299,gasoline,2.0,5.75,louvain,0.72,1.0,1.0,11
300,gasoline,2.0,6.0,greedy,0.72,1.0,1.0,11
301,gasoline,2.0,6.0,louvain,0.72,1.0,1.0,11
302,gasoline,2.0,6.25,greedy,0.72,1.0,1.0,11
303,gasoline,2.0,6.25,louvain,0.72,1.0,1.0,11
304,gasoline,2.0,6.5,greedy,0.72,1.0,1.0,11
305,gasoline,2.0,6.5,louvain,0.72,1.0,1.0,11
306,gasoline,2.0,6.75,greedy,0.72,1.0,1.0,11
307,gasoline,2.0,6.75,louvain,0.72,1.0,1.0,11
308,gasoline,2.25,2.5,greedy,0.72,1.0,1.0,11
309,gasoline,2.25,2.5,louvain,0.72,1.0,1.0,11
310,gasoline,2.25,2.75,greedy,0.72,1.0,1.0,11
311,gasoline,2.25,2.75,louvain,0.72,1.0,1.0,11
312,gasoline,2.25,3.0,greedy,0.72,1.0,1.0,11
313,gasoline,2.25,3.0,louvain,0.72,1.0,1.0,11
314,gasoline,2.25,3.25,greedy,0.72,1.0,1.0,11
315,gasoline,2.25,3.25,louvain,0.72,1.0,1.0,11
316,gasoline,2.25,3.5,greedy,0.72,1.0,1.0,11
317,gasoline,2.25,3.5,louvain,0.72,1.0,1.0,11
318,gasoline,2.25,3.75,greedy,0.72,1.0,1.0,11
319,gasoline,2.25,3.75,louvain,0.72,1.0,1.0,11
320,gasoline,2.25,4.0,greedy,0.72,1.0,1.0,11
321,gasoline,2.25,4.0,louvain,0.72,1.0,1.0,11
322,gasoline,2.25,4.25,greedy,0.72,1.0,1.0,11
323,gasoline,2.25,4.25,louvain,0.72,1.0,1.0,11
324,gasoline,2.25,4.5,greedy,0.72,1.0,1.0,11
325,gasoline,2.25,4.5,louvain,0.72,1.0,1.0,11
326,gasoline,2.25,4.75,greedy,0.72,1.0,1.0,11
327,gasoline,2.25,4.75,louvain,0.72,1.0,1.0,11
328,gasoline,2.25,5.0,greedy,0.72,1.0,1.0,11
329,gasoline,2.25,5.0,louvain,0.72,1.0,1.0,11
330,gasoline,2.25,5.25,greedy,0.72,1.0,1.0,11
331,gasoline,2.25,5.25,louvain,0.72,1.0,1.0,11
332,gasoline,2.25,5.5,greedy,0.72,1.0,1.0,11
333,gasoline,2.25,5.5,louvain,0.72,1.0,1.0,11
334,gasoline,2.25,5.75,greedy,0.72,1.0,1.0,11
335,gasoline,2.25,5.75,louvain,0.72,1.0,1.0,11
336,gasoline,2.25,6.0,greedy,0.72,1.0,1.0,11
337,gasoline,2.25,6.0,louvain,0.72,1.0,1.0,11
338,gasoline,2.25,6.25,greedy,0.72,1.0,1.0,11
339,gasoline,2.25,6.25,louvain,0.72,1.0,1.0,11
340,gasoline,2.25,6.5,greedy,0.72,1.0,1.0,11
341,gasoline,2.25,6.5,louvain,0.72,1.0,1.0,11
342,gasoline,2.25,6.75,greedy,0.72,1.0,1.0,11
343,gasoline,2.25,6.75,louvain,0.72,1.0,1.0,11
344,gasoline,2.5,2.75,greedy,0.7822222222222222,0.9852941176470589,1.0,17
345,gasoline,2.5,2.75,louvain,0.7822222222222222,0.9852941176470589,1.0,17
346,gasoline,2.5,3.0,greedy,0.7822222222222222,0.9852941176470589,1.0,17
347,gasoline,2.5,3.0,louvain,0.7822222222222222,0.9852941176470589,1.0,17
348,gasoline,2.5,3.25,greedy,0.7822222222222222,0.9852941176470589,1.0,17
349,gasoline,2.5,3.25,louvain,0.7822222222222222,0.9852941176470589,1.0,17
350,gasoline,2.5,3.5,greedy,0.7822222222222222,0.9852941176470589,1.0,17
351,gasoline,2.5,3.5,louvain,0.7822222222222222,0.9852941176470589,1.0,17
352,gasoline,2.5,3.75,greedy,0.7822222222222222,0.9852941176470589,1.0,17
353,gasoline,2.5,3.75,louvain,0.7822222222222222,0.9852941176470589,1.0,17
354,gasoline,2.5,4.0,greedy,0.7822222222222222,0.9852941176470589,1.0,17
355,gasoline,2.5,4.0,louvain,0.7822222222222222,0.9852941176470589,1.0,17
356,gasoline,2.5,4.25,greedy,0.7822222222222222,0.9852941176470589,1.0,17
357,gasoline,2.5,4.25,louvain,0.7822222222222222,0.9852941176470589,1.0,17
358,gasoline,2.5,4.5,greedy,0.7822222222222222,0.9852941176470589,1.0,17
359,gasoline,2.5,4.5,louvain,0.7822222222222222,0.9852941176470589,1.0,17
360,gasoline,2.5,4.75,greedy,0.7822222222222222,0.9852941176470589,1.0,17
361,gasoline,2.5,4.75,louvain,0.7822222222222222,0.9852941176470589,1.0,17
362,gasoline,2.5,5.0,greedy,0.7822222222222222,0.9852941176470589,1.0,17
363,gasoline,2.5,5.0,louvain,0.7822222222222222,0.9852941176470589,1.0,17
364,gasoline,2.5,5.25,greedy,0.7822222222222222,0.9852941176470589,1.0,17
365,gasoline,2.5,5.25,louvain,0.7822222222222222,0.9852941176470589,1.0,17
366,gasoline,2.5,5.5,greedy,0.7822222222222222,0.9852941176470589,1.0,17
367,gasoline,2.5,5.5,louvain,0.7822222222222222,0.9852941176470589,1.0,17
368,gasoline,2.5,5.75,greedy,0.7822222222222222,0.9852941176470589,1.0,17
369,gasoline,2.5,5.75,louvain,0.7822222222222222,0.9852941176470589,1.0,17
370,gasoline,2.5,6.0,greedy,0.7822222222222222,0.9852941176470589,1.0,17
371,gasoline,2.5,6.0,louvain,0.7822222222222222,0.9852941176470589,1.0,17
372,gasoline,2.5,6.25,greedy,0.7822222222222222,0.9852941176470589,1.0,17
373,gasoline,2.5,6.25,louvain,0.7822222222222222,0.9852941176470589,1.0,17
374,gasoline,2.5,6.5,greedy,0.7822222222222222,0.9852941176470589,1.0,17
375,gasoline,2.5,6.5,louvain,0.7822222222222222,0.9852941176470589,1.0,17
376,gasoline,2.5,6.75,greedy,0.7822222222222222,0.9852941176470589,1.0,17
377,gasoline,2.5,6.75,louvain,0.7822222222222222,0.9852941176470589,1.0,17
378,gasoline,2.75,3.0,greedy,0.7889273356401383,0.9803921568627451,1.0,18
379,gasoline,2.75,3.0,louvain,0.7889273356401384,0.9803921568627451,1.0,18
380,gasoline,2.75,3.25,greedy,0.7889273356401383,0.9803921568627451,1.0,18
381,gasoline,2.75,3.25,louvain,0.7889273356401384,0.9803921568627451,1.0,18
382,gasoline,2.75,3.5,greedy,0.7889273356401383,0.9803921568627451,1.0,18
383,gasoline,2.75,3.5,louvain,0.7889273356401384,0.9803921568627451,1.0,18
384,gasoline,2.75,3.75,greedy,0.7889273356401383,0.9803921568627451,1.0,18
385,gasoline,2.75,3.75,louvain,0.7889273356401384,0.9803921568627451,1.0,18
386,gasoline,2.75,4.0,greedy,0.7889273356401383,0.9803921568627451,1.0,18
387,gasoline,2.75,4.0,louvain,0.7889273356401384,0.9803921568627451,1.0,18
388,gasoline,2.75,4.25,greedy,0.7889273356401383,0.9803921568627451,1.0,18
389,gasoline,2.75,4.25,louvain,0.7889273356401384,0.9803921568627451,1.0,18
390,gasoline,2.75,4.5,greedy,0.7889273356401383,0.9803921568627451,1.0,18
391,gasoline,2.75,4.5,louvain,0.7889273356401384,0.9803921568627451,1.0,18
392,gasoline,2.75,4.75,greedy,0.7889273356401383,0.9803921568627451,1.0,18
393,gasoline,2.75,4.75,louvain,0.7889273356401384,0.9803921568627451,1.0,18
394,gasoline,2.75,5.0,greedy,0.7889273356401383,0.9803921568627451,1.0,18
